Date,Open,High,Low,Close,Adj Close,Volume
2024-02-15,475.279999,488.619995,472.220001,484.029999,483.516968,24212300
2024-02-16,478.109985,478.959991,469.209991,473.320007,472.818329,23306500
2024-02-20,469.720001,476.179993,466.559998,471.750000,471.250000,18015500
2024-02-21,466.500000,469.000000,461.790009,468.029999,468.029999,12977100
2024-02-22,480.239990,489.989990,476.059998,486.130005,486.130005,21625800
2024-02-23,488.049988,494.359985,482.350006,484.029999,484.029999,18374300
2024-02-26,483.470001,486.140015,480.600006,481.739990,481.739990,12101400
2024-02-27,479.980011,487.269989,479.920013,487.049988,487.049988,10809600
2024-02-28,485.000000,491.049988,482.750000,484.019989,484.019989,12715500
2024-02-29,488.440002,491.700012,482.609985,490.130005,490.130005,17732000
2024-03-01,492.109985,504.250000,491.850006,502.299988,502.299988,16273600
2024-03-04,503.000000,504.420013,496.420013,498.190002,498.190002,12324100
2024-03-05,495.000000,495.579987,487.890015,490.220001,490.220001,15325300
2024-03-06,497.630005,502.970001,494.290009,496.089996,496.089996,11757900
2024-03-07,503.279999,519.849976,501.380005,512.190002,512.190002,18586400
2024-03-08,514.190002,523.570007,499.350006,505.950012,505.950012,18575200
2024-03-11,497.010010,497.320007,476.000000,483.589996,483.589996,20428300
2024-03-12,493.260010,502.309998,484.730011,499.750000,499.750000,15448200
2024-03-13,495.390015,500.980011,491.029999,495.570007,495.570007,12090700
2024-03-14,500.260010,501.350006,488.160004,491.829987,491.829987,12620000
2024-03-15,489.010010,491.829987,481.299988,484.100006,484.100006,29141700
